time	V(adc_out)
1.512298092525361e-03	1.417048e+00
1.522063717525361e-03	1.243697e+00
1.531829342525361e-03	1.084002e+00
1.541594967525361e-03	9.433541e-01
1.551360592525361e-03	8.265097e-01
1.561126217525361e-03	7.374134e-01
1.570891842525361e-03	6.790788e-01
1.580657467525361e-03	6.534740e-01
1.587338050796716e-03	6.553063e-01
1.594851899952826e-03	6.761344e-01
1.604617524952826e-03	7.321744e-01
1.614383149952826e-03	8.191510e-01
1.624148774952826e-03	9.341276e-01
1.633914399952826e-03	1.073217e+00
1.643680024952826e-03	1.231721e+00
1.653445649952826e-03	1.404283e+00
1.663211274952826e-03	1.585074e+00
1.672976899952826e-03	1.767983e+00
1.682742524952826e-03	1.946831e+00
1.692508149952826e-03	2.115574e+00
1.702273774952826e-03	2.268512e+00
1.712039399952826e-03	2.400476e+00
1.721805024952826e-03	2.507008e+00
1.731570649952826e-03	2.584507e+00
1.741336274952826e-03	2.630358e+00
1.751101899952826e-03	2.643007e+00
1.756794194332975e-03	2.634848e+00
1.766051452800781e-03	2.597429e+00
1.775817077800781e-03	2.526730e+00
1.785582702800781e-03	2.426333e+00
1.795348327800781e-03	2.299630e+00
1.805113952800781e-03	2.150903e+00
1.814879577800781e-03	1.985176e+00
1.824645202800781e-03	1.808050e+00
1.834410827800781e-03	1.625509e+00
1.844176452800781e-03	1.443722e+00
1.853942077800781e-03	1.268831e+00
1.863707702800781e-03	1.106745e+00
1.873473327800781e-03	9.629412e-01
1.883238952800781e-03	8.422781e-01
1.893004577800781e-03	7.488335e-01
1.902770202800781e-03	6.857638e-01
1.912535827800781e-03	6.552012e-01
1.920128688520610e-03	6.546019e-01
1.927302397429946e-03	6.727007e-01
1.937068022429946e-03	7.258332e-01
1.946833647429946e-03	8.101198e-01
1.956599272429946e-03	9.227106e-01
1.966364897429946e-03	1.059803e+00
1.976130522429946e-03	1.216763e+00
1.985896147429946e-03	1.388289e+00
1.995661772429946e-03	1.568583e+00
2.005427397429945e-03	1.751556e+00
2.015193022429945e-03	1.931022e+00
2.024958647429945e-03	2.100921e+00
2.034724272429945e-03	2.255508e+00
2.044489897429945e-03	2.389564e+00
2.054255522429944e-03	2.498556e+00
2.064021147429944e-03	2.578804e+00
2.073786772429944e-03	2.627595e+00
2.083552397429944e-03	2.643281e+00
2.088690039070109e-03	2.638018e+00
2.097050040408307e-03	2.609679e+00
2.106815665408306e-03	2.546474e+00
2.116581290408306e-03	2.452905e+00
2.126346915408306e-03	2.332133e+00
2.136112540408306e-03	2.188239e+00
2.145878165408305e-03	2.026085e+00
2.155643790408305e-03	1.851152e+00
2.165409415408305e-03	1.669348e+00
2.175175040408305e-03	1.486818e+00
2.184940665408305e-03	1.309728e+00
2.194706290408304e-03	1.144063e+00
2.204471915408304e-03	9.954199e-01
2.214237540408304e-03	8.688223e-01
2.224003165408304e-03	7.685460e-01
2.233768790408304e-03	6.979811e-01
2.243534415408303e-03	6.595100e-01
2.252586812813832e-03	6.536648e-01
2.259211511257493e-03	6.677083e-01
2.268977136257493e-03	7.161222e-01
2.278742761257493e-03	7.960179e-01
2.288508386257492e-03	9.046968e-01
